"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1991	9.326	2.518	1.033	0.105	0.04	0.066
1992	27.619	2.604	0.516	0.415	0.07	0.083
1993	9.618	7.723	0.765	0.225	0.21	0.078
1994	28.523	5.985	1.768	0.132	0.062	0.006
1995	11.604	16.806	1.123	0.217	0.019	0.043
1996	5.958	5.151	1.391	0.337	0.268	0.011
1997	22.386	1.956	0.819	0.199	0.057	0.064
1998	0.798	28.983	1.054	0.093	0	0.031
1999	3.734	0.598	3.342	0.042	0.057	0.019
2000	9.592	1.815	0.094	0.269	0.009	0.024
2001	1.884	4.605	0.376	0.011	0.031	0.031
2002	4.827	1.149	1.241	0.381	0.075	0.072
2003	2.595	2.974	0.391	0.25	0.095	0.092
2004	4.641	2.732	2.445	0.34	0.129	0
2005	2.343	1.982	0.475	0.114	0	0.008
2006	13.024	2.182	0.641	0.025	0.044	0.022
2007	6.054	6.435	0.41	0.173	0.069	0.017
2008	12.688	3.675	2.774	0.265	0.077	0.042
2009	2.895	1.349	0.518	0.48	0.073	0.024
2010	8.458	5.813	1.371	0.345	0.156	0.045
2011	3.118	8.528	6.473	3.022	2.13	1.44
2012	3.95	2.218	2.867	0.57	0.223	0.09
2013	5.971	3.119	1.885	2.556	0.704	0.268
2014	8.153	5.855	1.718	0.662	0.551	0.26
