Catch at age (thousands); Cod in NW
1 2
2003	2013					
1	7					
1						
800	1759	416	245	41	6	7
968	629	439	141	71	11	6
950	1031	221	122	36	29	5
2630	965	483	98	44	14	13
1729	2946	430	207	39	15	9
878	1233	1155	119	70	18	13
1055	1307	480	375	66	30	14
1866	2934	1023	280	268	27	18
211	2439	1206	261	122	135	13
1098	591	1244	472	82	38	40
1021	1361	524	717	236	55	44
