"year"	"age1"	"age2"	"age3"	"age4"	"age5"	"age6"
1971	18.709	10.811	1.04	0.45	0.597	0.993
1972	2.112	5.558	2.503	0.302	0.319	1.052
1973	4.648	3.262	6.563	0.919	0.255	0.393
1975	7.019	0.828	1.067	0.103	1.059	0.591
1976	1.313	2.268	0.087	0.511	0.056	0.849
1977	7.417	0.634	0.88	0.236	0.408	0.008
1978	15.764	93.06	1.547	1.509	0.464	1.024
1979	18.569	19.073	11.258	0.997	1.207	0.521
1980	42.297	26.052	5.332	2.476	0.376	0.91
1981	21.068	36.465	2.73	1.717	1.801	0.832
1982	20.092	7.589	5.464	1.173	0.757	1.219
1983	8.394	24.615	2.37	1.308	0.678	1.341
1984	62.508	7.772	3.254	0.667	0.887	0.88
1985	1.168	21.258	1.63	0.877	0.37	0.881
1986	33.103	3.493	5.173	1.777	0.849	0.591
1987	22.072	37.808	1.273	1.219	0.375	0.91
1988	5.41	5.463	6.071	0.313	0.65	0.709
1989	14.628	4.965	3.517	1.903	0.324	1.011
1990	2.546	11.044	1.742	0.665	0.923	0.618
1991	8.002	3.244	2.596	0.784	0.293	0.8
1992	16.924	5.871	1.168	0.76	0.311	0.344
1993	6.711	12.746	1.62	0.603	0.458	0.267
1994	12.432	4.186	2.16	0.602	0.402	0.498
1995	7.529	12.891	2.277	0.7	0.215	0.337
1996	3.252	6.901	6.299	0.52	0.406	0.33
1997	47.739	3.769	1.457	0.756	0.286	0.296
1998	2.428	18.648	1.216	0.553	0.257	0.276
1999	2.282	1.785	6.028	0.465	0.199	0.413
2000	5.926	1.53	0.448	0.956	0.188	0.25
2001	2.227	3.945	0.907	0.213	0.239	0.172
2002	5.346	2.216	1.852	0.35	0.057	0.235
2003	0.653	3.588	0.878	0.544	0.171	0.106
2004	5.568	2.326	1.629	0.274	0.188	0.124
2005	1.83	1.507	0.508	0.596	0.065	0.122
2006	5.083	1.136	0.738	0.204	0.062	0.077
2007	3.644	3.672	0.778	0.319	0.084	0.073
2008	3.242	1.593	1.636	0.46	0.312	0.104
2009	0.932	3.835	1.482	0.584	0.177	0.143
2010	4.767	2.101	1.814	0.43	0.267	0.176
2011	0.958	5.315	1.622	0.72	0.413	0.32
2012	0.986	2.466	3.645	0.938	0.355	0.138
2013	1.578	1.629	1.125	1.09	0.534	0.183
