year;quarter;country;area;age;n;b
1998;1;spain;ecan;8;790;
1998;1;spain;ecan;9;466;
1998;1;spain;ecan;12;133;
1998;1;spain;wcan;1;283675;
1998;1;spain;wcan;2;63063;
1998;1;spain;wcan;3;41968;
1998;1;spain;wcan;4;16337;
1998;1;spain;wcan;5;4294;
1998;1;spain;wcan;6;8323;
1998;1;spain;wcan;7;1905;
1998;1;spain;wcan;8;476;
1998;1;spain;wcan;9;604;
1998;1;spain;ngal;1;9807;
1998;1;spain;ngal;2;2180;
1998;1;spain;ngal;3;1451;
1998;1;spain;ngal;4;565;
1998;1;spain;ngal;5;148;
1998;1;spain;ngal;6;288;
1998;1;spain;ngal;7;66;
1998;1;spain;ngal;8;16;
1998;1;spain;ngal;9;21;
1998;1;spain;sgal;1;197873;
1998;1;spain;sgal;2;26776;
1998;1;spain;sgal;3;7459;
1998;1;spain;sgal;4;4019;
1998;1;spain;sgal;5;4345;
1998;1;spain;sgal;6;4053;
1998;1;spain;sgal;7;2620;
1999;1;portugal;npor;1;2320453;55202
1999;1;portugal;npor;2;844859;32233
1999;1;portugal;npor;3;814369;40437
1999;1;portugal;npor;4;117062;6879
1999;1;portugal;npor;5;150177;9219
1999;1;portugal;npor;6;157986;10566
1999;1;portugal;npor;7;42064;3021
1999;1;portugal;swpor;1;285254;2649
1999;1;portugal;swpor;2;79961;3134
1999;1;portugal;swpor;3;92320;4852
1999;1;portugal;swpor;4;161927;9981
1999;1;portugal;swpor;5;159684;10269
1999;1;portugal;swpor;6;46050;3192
1999;1;portugal;swpor;7;5446;487
1999;1;portugal;spor;1;257995;7320
1999;1;portugal;spor;2;205009;7754
1999;1;portugal;spor;3;103243;5253
1999;1;portugal;spor;4;125270;7376
1999;1;portugal;spor;5;73776;4770
1999;1;portugal;spor;6;70293;4626
1999;1;portugal;spor;7;26566;1901
1999;1;portugal;cad;1;2848041;70511
1999;1;portugal;cad;2;1422794;52923
1999;1;portugal;cad;3;450745;21555
1999;1;portugal;cad;4;440176;23473
1999;1;portugal;cad;5;212076;13869
1999;1;portugal;cad;6;95720;6796
1999;1;portugal;cad;7;25012;1976
1999;1;spain;ecan;1;106402;
1999;1;spain;ecan;2;26188;
1999;1;spain;ecan;3;28553;
1999;1;spain;ecan;4;36245;
1999;1;spain;ecan;5;12069;
1999;1;spain;ecan;6;11994;
1999;1;spain;ecan;7;10607;
1999;1;spain;ecan;9;526;
1999;1;spain;ecan;10;2339;
1999;1;spain;wcan;1;22836;
1999;1;spain;wcan;2;92300;
1999;1;spain;wcan;3;79639;
1999;1;spain;wcan;4;64085;
1999;1;spain;wcan;5;12815;
1999;1;spain;wcan;6;17983;
1999;1;spain;wcan;7;14719;
1999;1;spain;wcan;9;296;
1999;1;spain;wcan;10;1136;
1999;1;spain;ngal;1;52718;
1999;1;spain;ngal;2;22802;
1999;1;spain;ngal;3;18573;
1999;1;spain;ngal;4;10254;
1999;1;spain;ngal;5;3280;
1999;1;spain;ngal;6;584;
1999;1;spain;ngal;7;447;
1999;1;spain;sgal;1;32569;
1999;1;spain;sgal;2;19085;
1999;1;spain;sgal;3;7853;
1999;1;spain;sgal;4;13729;
1999;1;spain;sgal;5;193;
1999;1;spain;sgal;7;3382;
2000;1;portugal;npor;1;2802193;52427
2000;1;portugal;npor;2;302069;12754
2000;1;portugal;npor;3;312436;15442
2000;1;portugal;npor;4;159507;9625
2000;1;portugal;npor;5;54044;3510
2000;1;portugal;npor;6;37249;2646
2000;1;portugal;npor;7;17448;1299
2000;1;portugal;swpor;1;1611902;34833
2000;1;portugal;swpor;2;511258;20844
2000;1;portugal;swpor;3;285429;15365
2000;1;portugal;swpor;4;205721;12362
2000;1;portugal;swpor;5;73488;4831
2000;1;portugal;swpor;6;19565;1452
2000;1;portugal;swpor;7;7896;641
2000;1;portugal;spor;1;2407;79
2000;1;portugal;spor;2;129778;5489
2000;1;portugal;spor;3;157150;7749
2000;1;portugal;spor;4;153772;8322
